ambient,r,g,b,label
896,669,195,281,red
932,714,202,290,red
970,734,207,302,red
832,667,187,268,red
919,668,200,295,red
881,697,203,282,red
828,674,197,267,red
777,656,193,253,red
762,645,193,251,red
810,693,204,264,red
993,872,235,313,red
1225,1002,259,362,red
837,706,190,264,red
629,527,155,209,red
473,415,125,157,red
643,542,159,212,red
510,433,126,164,red
482,412,117,156,red
571,469,138,180,red
614,540,136,185,red
519,474,122,156,red
1061,888,231,322,red
933,707,211,299,red
333,298,82,106,red
2141,1737,431,641,red
2123,1614,418,630,red
1858,1422,364,563,red
1188,967,259,367,red
910,759,189,263,red
1076,868,230,331,red
1103,885,235,341,red
1138,950,243,341,red
1040,848,219,321,red
1242,955,251,373,red
902,799,215,287,red
656,574,168,217,red
469,398,129,160,red
625,530,164,209,red
985,868,234,308,red
1094,972,242,335,red
1214,1021,258,370,red
523,361,143,164,red
615,527,138,183,red
398,353,96,128,red
387,343,93,124,red
520,455,122,165,red
523,453,125,169,red
536,461,128,171,red
510,440,122,166,red
525,455,122,166,red
483,412,114,156,red
379,300,99,125,red
391,328,100,130,red
147,135,42,53,red
394,343,97,129,red
512,441,134,175,red
751,652,185,248,red
904,718,202,289,red
476,398,118,157,red
519,450,126,170,red
441,172,178,248,blue
414,160,163,231,blue
393,139,148,220,blue
541,182,212,310,blue
339,151,150,196,blue
263,113,113,152,blue
266,108,113,162,blue
201,94,97,124,blue
184,87,87,109,blue
209,96,106,134,blue
283,119,130,166,blue
283,120,133,167,blue
252,112,114,150,blue
257,116,112,142,blue
402,162,172,230,blue
278,130,129,162,blue
349,143,147,196,blue
302,120,124,168,blue
336,143,143,183,blue
331,135,139,181,blue
294,120,124,165,blue
287,116,118,160,blue
265,109,110,148,blue
216,94,96,127,blue
298,115,121,172,blue
290,114,116,157,blue
276,111,115,154,blue
180,69,71,102,blue
278,113,113,152,blue
346,137,145,191,blue
343,146,147,187,blue
349,147,148,189,blue
342,139,141,184,blue
358,151,154,202,blue
269,128,124,151,blue
274,128,125,155,blue
285,132,132,164,blue
250,114,110,143,blue
250,115,113,141,blue
285,135,131,162,blue
346,136,127,171,blue
285,131,126,154,blue
268,121,118,149,blue
346,138,127,169,blue
318,141,141,179,blue
286,131,130,164,blue
267,125,121,152,blue
396,154,145,199,blue
766,271,245,323,blue
335,152,150,187,blue
233,108,108,134,blue
249,113,118,150,blue
329,136,149,189,blue
328,136,145,186,blue
261,116,127,160,blue
305,133,131,157,blue
307,129,137,176,blue
318,137,144,189,blue
457,179,175,223,blue
370,176,134,154,blue
368,180,131,148,blue
243,99,103,137,blue
276,109,116,154,blue
255,107,111,144,blue
331,125,182,151,green
312,113,162,141,green
293,103,145,131,green
282,101,133,121,green
360,139,196,157,green
484,180,207,186,green
741,245,357,311,green
392,140,191,165,green
347,126,176,154,green
366,133,185,162,green
315,118,163,141,green
344,123,166,150,green
190,69,91,85,green
53,25,28,25,green
286,100,141,129,green
323,124,179,146,green
341,133,196,152,green
481,192,207,179,green
648,234,314,277,green
1028,378,494,430,green
1144,408,554,500,green
283,123,165,124,green
308,121,142,127,green
381,171,176,150,green
373,170,168,143,green
717,270,330,300,green
688,217,299,298,green
488,196,225,197,green
521,176,233,217,green
568,229,265,231,green
544,230,241,212,green
541,226,244,218,green
508,193,257,204,green
461,178,235,187,green
707,238,330,271,green
675,227,317,270,green
851,309,413,366,green
503,209,224,206,green
486,220,201,187,green
512,198,260,221,green
485,174,241,198,green
318,124,177,144,green
1035,361,525,449,green
1307,472,635,555,green
353,129,174,152,green
518,205,227,208,green
441,160,224,190,green
840,295,417,356,green
370,146,202,160,green
640,238,341,289,green
989,462,346,361,neutral
839,435,297,288,neutral
915,467,293,300,neutral
856,433,276,284,neutral
781,402,252,258,neutral
805,403,256,267,neutral
571,283,178,187,neutral
888,445,300,306,neutral
993,496,327,336,neutral
1003,509,339,342,neutral
1022,502,338,347,neutral
969,491,331,336,neutral
1021,504,329,342,neutral
917,455,303,315,neutral
779,400,273,280,neutral
792,394,274,286,neutral
923,454,313,331,neutral
482,274,161,168,neutral
606,339,199,202,neutral
520,290,170,177,neutral
505,289,173,180,neutral
505,281,164,171,neutral
603,336,193,201,neutral
469,256,159,163,neutral
558,308,183,189,neutral
592,327,191,196,neutral
512,289,170,177,neutral
111,70,49,53,neutral
118,88,55,53,neutral
106,71,47,50,neutral
88,61,45,47,neutral
72,57,44,43,neutral
65,52,39,40,neutral
60,50,38,37,neutral
81,65,43,42,neutral
96,63,42,44,neutral
144,77,44,48,neutral
149,78,47,51,neutral
166,91,50,54,neutral
142,75,44,48,neutral
162,86,50,54,neutral
246,146,75,81,neutral
102,71,46,47,neutral
77,58,42,42,neutral
64,53,39,39,neutral
105,74,45,46,neutral
60,49,36,36,neutral
8,8,6,5,neutral
1,1,1,1,neutral
31,27,21,21,neutral
53,44,34,34,neutral
46,39,30,29,neutral
6,5,4,4,neutral
63,52,39,39,neutral
75,59,43,43,neutral
85,69,52,51,neutral
367,205,123,125,neutral
597,332,189,196,neutral
532,293,171,179,neutral
443,243,148,152,neutral
423,232,138,146,neutral
390,220,128,133,neutral
340,198,111,115,neutral
349,216,111,115,neutral
322,188,109,112,neutral
592,296,227,238,neutral
557,325,181,185,neutral
354,205,112,116,neutral
380,214,129,134,neutral
